tau,seed,bm_error
0.01,0,0.01657977718859911
0.01,1,262299.87109375
0.01,2,0.017378750257194042
0.05,0,0.0209136001765728
0.05,1,0.020446348190307616
0.05,2,0.012765156105160713
0.1,0,0.0052036609500646595
0.1,1,0.02904871180653572
0.1,2,0.013031812943518161
0.5,0,0.01790731158107519
0.5,1,0.02446729000657797
0.5,2,0.014752561412751674
1.0,0,0.00847664438188076
1.0,1,0.01918849628418684
1.0,2,0.015029044263064862
10.0,0,0.01734488569200039
10.0,1,0.01993005834519863
10.0,2,0.01910684406757355
20.0,0,0.01901150792837143
20.0,1,0.02218001987785101
20.0,2,0.01308447439223528
